custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model
688036_1206947132_glm4_dewrap_join_chunk_0001,688036,传音控股,1206947132,1,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7360,6897,3988,3988,24,3988,331,331,"公司主营以手机为核心的智能终端设计、研发、生产、销售和品牌运营，主要产品为TECNO、itel、Infinix三大品牌手机，销售集中于非洲、南亚、东南亚、中东和南美等新兴市场。2018年公司手机出货量1.24亿部，全球、印度、非洲市场占有率分别为7.04%、6.72%、48.71%，排名全球第四、印度第四、非洲第一；报告期手机产品销售收入占主营业务收入均达95%以上，2016至2018年主营业务收入由108.40亿元增至221.72亿元。公司设有上海、深圳研发中心，研发深肤色人脸识别、本地化场景、用户画像等技术，2019年上半年研发人员1,559人、研发费用3.49亿元；Carlcare全球服务网点超过2,000个，并合作开发5款月活超1,000万应用。",166,74,74,0,6,10,18,18,17,5,22,0.2972972972972973,3,-19,2.608108108108108,
688036_1206947132_glm4_dewrap_join_chunk_0002,688036,传音控股,1206947132,2,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7125,6479,3985,3985,24,3985,291,291,"公司智能机销量由2016年的1,661万台增至2018年的3,406万台，销售金额由67.41亿元增至154.79亿元，销售网络下沉和印度等亚洲市场拓展推动收入增长。公司采购采用以产定购，生产采用以销定产，并结合自主生产、外协和ODM；2019年上半年自主、外协、ODM生产成本占比分别为57.72%、38.42%、3.86%，外协加工费形成成本占营业成本3.33%，报告期均低于5%。公司自有生产基地分布于深圳、重庆、惠州、埃塞俄比亚、印度、孟加拉，2018年重庆传音产能3,117.16万台、泰衡诺658.78万台；销售以经销商为主、运营商为辅，经销商通常先款后货、买断式销售。",146,88,88,0,8,12,25,23,17,3,20,0.22727272727272727,3,-17,2.4318181818181817,
688036_1206947132_glm4_dewrap_join_chunk_0003,688036,传音控股,1206947132,3,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6144,5529,3553,3553,24,3553,276,276,"公司经销商数量由2016年初306家增至2018年末2,737家，2019年6月末为2,398家，增长主要来自2016年后拓展印度等亚洲新兴市场，2019年上半年减少主要因印度渠道优化。2019年6月末，非洲地区2016年前签约经销商对应收入占非洲收入64.65%，3,000万元以上经销商收入占比76.43%；印度及其他地区经销商多为报告期内签约，300万元以下经销商收入占比49.60%。2016年以来新增经销商收入占各期收入比例由21.64%升至45.38%，但公司主要经销商合作整体稳定，主要客户收入随非洲、印度市场需求及公司份额提升整体增长。",138,45,45,0,4,4,10,11,14,2,16,0.35555555555555557,3,-13,2.7333333333333334,
688036_1206947132_glm4_dewrap_join_chunk_0004,688036,传音控股,1206947132,4,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6756,6195,3970,3970,24,3970,302,302,"报告期公司营业收入分别为116.37亿元、200.44亿元、226.46亿元和105.04亿元，2017年、2018年同比增长72.24%、12.98%；收入主要由老经销商贡献，其收入占比分别为67.13%、79.07%、82.48%、85.61%。2017年增长主要来自非洲老经销商和印度市场开拓，公司手机出货量由7,557.05万部增至12,732.18万部，非洲、印度市场占有率分别由33.73%、3.40%升至45.12%、9.03%。2018年公司非洲份额升至48.71%，但印度受Lyf超低价功能机竞争影响，整体份额降至6.72%；公司盈利主要来自手机销售，手机产品毛利率整体保持20%以上。",151,76,76,0,9,11,18,18,16,4,20,0.2631578947368421,3,-17,2.4342105263157894,
688036_1206947132_glm4_dewrap_join_chunk_0005,688036,传音控股,1206947132,5,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7170,6756,3974,3974,24,3974,276,276,"公司境内工厂整机经香港采购公司后由香港或迪拜销售主体面向海外客户销售，印度、埃塞俄比亚、孟加拉等当地工厂则接收CKD/SKD套料并加工为整机后销售。公司以销定产并通过SAP统一管理订单、生产和实物流转，报告期手机产量分别为7,698.11万台、12,922.98万台、12,596.87万台和5,188.36万台，销量分别为7,557.05万台、12,732.18万台、12,428.37万台和5,471.42万台，产销率保持95%以上。公司产品未列入高污染、高环境风险名录，已通过ISO14001环境管理体系认证，报告期无重大污染事故或环保行政处罚。",138,70,70,0,8,30,17,9,6,0,6,0.08571428571428572,3,-3,1.6428571428571428,
688036_1206947132_glm4_dewrap_join_chunk_0006,688036,传音控股,1206947132,6,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7385,6986,3995,3995,24,3995,181,181,公司所处移动通信终端设备制造业，手机产品包括功能手机和智能手机，重点面向非洲、印度等新兴市场；公司专注于以非洲为代表的新兴市场进行本土化产品研发和技术创新，在品牌影响力、用户规模、技术创新、销售网络、供应链管控、售后服务方面具备优势。2014年至2018年，非洲、印度智能机保有量及人均保有量快速上升，功能机仍有一定市场份额，新兴市场空间将推动公司经营业绩提升。,91,78,78,0,11,54,8,4,1,0,1,0.01282051282051282,2,1,1.1025641025641026,
688036_1206947132_glm4_dewrap_join_chunk_0007,688036,传音控股,1206947132,7,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6536,5793,3995,3995,24,3995,208,208,2018年公司全品类手机全球市场占有率为7.04%，全球排名第4，较2016年3.95%提升3.09个百分点；智能手机全球市场占有率为2.75%，排名第9，较2016年1.17%明显提升。2016年至2018年，公司功能手机全球出货量均排名第一，市场占有率分别为12.12%、19.62%和19.47%。公司深耕以非洲为代表的新兴市场，2018年非洲市场份额48.71%、位列第一，印度市场份额6.72%、位列第四。,104,63,63,0,8,15,7,12,18,3,21,0.3333333333333333,3,-18,2.4126984126984126,
688036_1206947132_glm4_dewrap_join_chunk_0008,688036,传音控股,1206947132,8,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7611,7249,3996,3996,24,3996,256,256,"公司定位于科技品牌出海，面向海外新兴市场用户提供智能终端设备，并基于自主研发的智能终端操作系统和流量入口提供互联网服务。2018年公司手机出货量超过1亿部，全球市场占有率7.04%、排名第四；非洲市场占有率48.71%、位列第一；印度市场占有率6.72%、位列第四。2016年至2018年，公司产品出货量由7,557.05万台增至12,428.37万台，销售金额由1,084,003.93万元增至2,217,196.08万元，旗下TECNO、itel、Infinix在非洲消费者品牌榜中分别列第5、17、26名。",128,72,72,0,5,25,15,13,11,3,14,0.19444444444444445,3,-11,2.125,
688036_1206947132_glm4_dewrap_join_chunk_0009,688036,传音控股,1206947132,9,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7046,6730,3863,3863,24,3863,265,265,"公司针对非洲市场研发黑人肤色摄像、夜间拍照捕捉、暗处人脸识别、低成本高压快充、超长待机、防汗液USB端口等本地化技术，Boomplay已成为非洲最大的音乐流媒体平台。报告期内研发投入超过二十亿元，公司在上海和深圳设自主研发中心，拥有研发人员1,500多人；截至2018年末，月均超过8,000万台智能手机连入互联网。公司产品进入全球70多个国家和地区，与超过2,000家经销商客户合作，并在埃塞俄比亚、印度、孟加拉国等地设自有工厂。Carlcare在全球建有超过2,000个服务网点，是非洲最大的电子类及家电类产品服务方案解决商。",133,83,83,0,6,6,17,23,24,7,31,0.37349397590361444,4,-27,2.891566265060241,
688036_1206947132_glm4_dewrap_join_chunk_0010,688036,传音控股,1206947132,10,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6547,5871,3964,3964,24,3964,342,342,"报告期各期，公司手机产品收入分别为1,042,163.00万元、1,913,507.72万元、2,142,891.50万元和969,857.96万元，占主营业务收入比例分别为96.14%、97.68%、96.65%和95.40%；智能机收入占比由2016年的62.19%升至2019年1-6月的71.99%。2016年至2018年及2019年1-6月，公司手机销量分别为7,557.05万台、12,732.18万台、12,428.37万台和5,471.42万台，产销率均维持在95%以上。公司采用经销为主、少量运营商销售为辅的销售模式，主要客户为非洲、南亚等地手机经销商，前五大客户销售占比为18.32%、15.88%、15.39%和16.07%，不存在单一客户销售超过50%的情形。",171,76,76,0,7,2,8,18,34,7,41,0.5394736842105263,3,-38,3.1973684210526314,
688036_1206947132_glm4_dewrap_join_chunk_0011,688036,传音控股,1206947132,11,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7085,6166,3838,3838,24,3838,230,230,报告期内公司主要经销商覆盖尼日利亚、肯尼亚、科特迪瓦、印度等市场，多数自2014年至2018年开始合作且持续合作，新增或退出较少；个别客户变动主要因同一实际控制人调整合作主体、埃塞俄比亚独立设厂或市场开拓。公司主要原材料包括屏幕、存储器、芯片、电池、摄像头，2016年至2019年1-6月五类合计采购金额占采购总额约64.93%至67.85%。公司称关键元器件可选择多家供应商采购，不存在对单一元器件供应商较大依赖，能源采购以电能为主且占主营业务成本比例较低。,115,73,73,0,5,12,18,24,12,2,14,0.1917808219178082,3,-11,2.4383561643835616,
688036_1206947132_glm4_dewrap_join_chunk_0012,688036,传音控股,1206947132,12,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6406,5550,3993,3993,24,3993,246,246,报告期内公司前五大供应商采购占比为31.70%至35.64%，单一供应商采购比例未超过50%，董监高、核心技术人员、主要关联方及持股5%以上股东未在上述供应商中持有权益。主要原材料供应商较稳定，采购波动主要随产品结构、订单、产能利用率和质量管控调整。外协加工按出货数量和工序报价，2016年至2019年1-6月智能机平均外协加工费约13.65至14.67元/台，功能机约4.41至4.78元/台；不同厂商价格差异主要由ITEL低端机型、TECNO高端机型及工序差异造成，定价依据被说明为公允。,123,69,69,0,4,9,20,24,10,2,12,0.17391304347826086,3,-9,2.4782608695652173,
688036_1206947132_glm4_dewrap_join_chunk_0013,688036,传音控股,1206947132,13,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6403,5548,3984,3984,24,3984,238,238,"公司自有工厂单位贴片成本总体低于外协工厂，但剔除贴片后，自有工厂智能机组装和包装成本总体高于外协，主要因自有工厂多生产Tecno、Infinix中高端机型。2018年泰衡诺新工厂搬迁使租赁费、折旧费和装修费合计增加1,324.52万元，单位成本影响约2.16元/台，叠加产能未饱和推高当年组装包装成本。主要机型对比显示，Itel因工艺成熟且多用背胶工艺，加工成本低于Tecno；Tecno、Infinix类似售价产品除2018年搬迁影响外，内外部生产成本相对售价总体差异较小。",119,58,58,0,3,6,18,23,8,0,8,0.13793103448275862,3,-5,2.4655172413793105,
688036_1206947132_glm4_dewrap_join_chunk_0014,688036,传音控股,1206947132,14,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0014.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6588,5869,3578,3578,24,3578,226,226,"功能机方面，公司自有工厂无贴片工序，仅含组装和包装，剔除贴片后外协工厂加工费与自有工厂单位成本总体差异较小。截至2019年6月30日，公司主要生产经营设备包括双轨贴片机23台、原值4,522.14万元、成新率93.68%，以及印刷机、综合测试仪、ETS暗室等研发测试和生产设备。公司境内持有惠州厂房、上海科研设计房产，境外持有尼日利亚办公房产和坦桑尼亚员工宿舍；迪拜办公房产正在办理过户，埃塞俄比亚自建厂房尚未取得权属证书，但法律意见称取得不存在障碍。",113,51,51,0,4,15,13,12,6,1,7,0.13725490196078433,3,-4,2.0784313725490198,
688036_1206947132_glm4_dewrap_join_chunk_0015,688036,传音控股,1206947132,15,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0015.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7038,6192,3807,3807,24,3807,246,246,发行人境外主要租赁房产共20项，分布于埃塞俄比亚、孟加拉、埃及、肯尼亚、加纳、印度、赞比亚、尼日利亚等地，用于工厂、办公、仓库及售后维修；境内外主要租赁房产不能续租风险被说明为对生产经营影响较小。公司及附属公司取得房屋、土地权属证书不存在法律障碍，租赁未备案不影响合同合法有效性，不构成本次发行上市法律障碍。截至2019年6月30日，公司拥有商标884件，其中境内290件、境外594件；截至招股书签署日，公司及子公司境内专利630项，包括发明专利97项、实用新型385项、外观设计148项。,123,49,49,0,3,10,14,12,8,2,10,0.20408163265306123,3,-7,2.36734693877551,
688036_1206947132_glm4_dewrap_join_chunk_0016,688036,传音控股,1206947132,16,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0016.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5205,4588,3512,3512,24,3512,218,218,传音控股及子公司披露多项与移动终端、拍照、补光、散热、天线、电容笔等相关的发明和实用新型专利，并向华为、宇龙、酷派等受让取得合计94件专利，已应用于公司产品但收入贡献较小。公司目前拥有42件核心专利，应用于手机产品并实现高度产业化，营业收入和利润主要来自核心技术产品销售收入。传音控股及控股子公司拥有286项计算机软件著作权，其中与生产经营相关的核心软件著作权69件，覆盖省电、系统应用、拍照、美颜、FM、长截屏、浏览器、短视频等软件。,109,103,103,0,5,0,93,2,2,1,3,0.02912621359223301,3,0,1.9902912621359223,
688036_1206947132_glm4_dewrap_join_chunk_0017,688036,传音控股,1206947132,17,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0017.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5036,4500,3131,3131,24,3131,272,272,"传音控股及子公司继续披露核心软件著作权，涵盖Camera水印、场景识别、专业相机、长截屏、Phoenix浏览器、Visha短视频等应用。公司在深圳已取得4,998.04平方米土地使用权，用于建设传音总部及研发综合楼，并已取得现阶段工程建设所需证照。深圳泰衡诺拟取得深圳龙华22,000.85平方米普通工业用地，重庆传音科技拟取得重庆渝北两宗合计365,436平方米一类工业用地；境外方面，尼日利亚有582.86平方米土地，埃塞俄比亚承租25,543平方米土地用于厂房建设。传音控股及境内子公司取得对外贸易、检验检疫、高新技术企业等生产经营资质。",136,126,126,0,10,63,30,15,7,1,8,0.06349206349206349,4,-4,1.5952380952380953,
688036_1206947132_glm4_dewrap_join_chunk_0018,688036,传音控股,1206947132,18,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0018.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7034,6434,3913,3913,24,3913,289,291,"传音控股披露61项境外投资证书，并说明正在办理Transbyte (HK) Limited境外投资再投资备案；上海传英、上海展扬取得软件企业证书。公司将技术创新作为核心战略之一，在上海和深圳建立自主研发中心，并与尼日利亚、肯尼亚等地研发团队合作，拥有研发人员1,500多人，覆盖硬件、软件、移动互联、预研、测试、质量和项目等方向。公司核心技术来源包括自主研发、合作研发及技术授权基础上的定制化研发，形成深肤色夜间拍照、深肤色智能美颜、人脸识别、拍照智能场景识别、生物识别等本地化技术。上述技术以深肤色人像数据库、场景数据、训练模型和定制算法为支撑，主要面向非洲、印度等新兴市场用户。",145,103,103,0,6,63,7,18,7,2,9,0.08737864077669903,4,-5,1.6407766990291262,
688036_1206947132_glm4_dewrap_join_chunk_0019,688036,传音控股,1206947132,19,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0019.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6377,5846,3868,3868,24,3868,334,334,"传音控股披露多项面向新兴市场的核心技术，涵盖硬件深度定制、人工智能相册、拍照补光、Camera模组、显示屏、电池、防水防腐蚀、XPEN手写笔、大电流快充、资源分配、用户场景识别、数据管理、服务端架构、应用分发、系统解耦和本地化操作系统。公司自主研发14项核心技术，并在深肤色智能美颜、人脸识别、场景识别、生物识别、Camera模组、显示屏、电池、手写笔和快充等9项技术上采用合作研发或授权基础上的定制化研发。部分技术包含硬证据：通用数据管理构建千万级用户精准标签库、手机用户数据覆盖率超过80%、标签超过1,000个，高可用服务端架构年可用率超过99.9%，应用分发升级流量不超过应用包体60%、推荐点击率超过3%，系统解耦使交付周期提升200%、人力成本节省30%。",167,113,113,0,6,3,5,67,25,7,32,0.2831858407079646,4,-28,3.088495575221239,
