custom_id,sec_code,sec_name,announcement_id,chunk_index,chunk_count,chunk_file,normalization_mode,tokenizer,max_tokens,chunk_chars,chunk_compact_chars,chunk_glm4_tokens,Text_len,Chunk_num,chunk_token_proxy,summary_compact_chars,summary_chars,summary_text,summary_token_proxy,sentence_count,sentence_count_reported,sentence_count_mismatch,n0,n1,n2,n3,n4,n5,high_score_count,high_score_share,summary_sentence_count,summary_high_score_gap,relevant_score,relevant_score_model,summary_glm4_tokens,Summary_len_proxy,Summary_len_glm4,Redundancy_chunk_proxy,Redundancy_chunk_glm4,Redundancy_chunk_proxy_w99,Redundancy_chunk_glm4_w99,innovation_terms_all_union,innovation_terms_without_target,innovation_rate_all_union,innovation_rate_without_target,source_glm_batch,source_dir,source_shard
688036_1206947132_glm4_dewrap_join_chunk_0001,688036,传音控股,1206947132,1,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0001.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7360,6897,3988,3988,24,3988,245,245,"公司主营业务为以手机为核心的智能终端的设计、研发、生产和销售，主要品牌包括TECNO、itel和Infinix，销售区域集中在非洲、南亚等新兴市场。公司在非洲市场占有率高达48.71%，排名第一。公司自主研发的智能终端操作系统和移动互联网服务，为用户提供符合当地文化的应用服务。公司手机出货量2018年达1.24亿部，全球市场占有率7.04%。公司累计出口销售超过3.5亿部手机，创汇超过95亿美元。公司研发投入持续增长，2018年研发费用达71,179.14万元，研发人员占比10.6%。",123,62,62,0,6,15,18,12,8,3,11,0.1774193548387097,6,-5,2.161290322580645,,133,123,133,32.422764227642276,29.984962406015036,32.422764227642276,29.984962406015036,109,44,27.331995987963893,11.03309929789368,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0002,688036,传音控股,1206947132,2,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0002.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7125,6479,3985,3985,24,3985,195,195,公司在非洲市场凭借产品性能和本地化创新获得高市场占有率和品牌影响，智能机销量从2016年的1661万台增至2018年的3406万台。公司采用以产定购的采购模式和以销定产的生产模式，拥有深圳、重庆、惠州等自有工厂及埃塞俄比亚、印度、孟加拉等境外生产基地，2018年自主生产占营业成本57.72%。公司采取以经销商销售为主、运营商销售为辅的模式，经销商合作模式为卖断式销售，主要采取预收款结算。,98,62,62,0,7,15,18,12,8,2,10,0.1612903225806451,5,-5,2.0806451612903225,,115,98,115,40.66326530612245,34.65217391304348,40.66326530612245,34.65217391304348,50,27,12.547051442910917,6.7754077791718945,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0003,688036,传音控股,1206947132,3,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0003.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6144,5529,3553,3553,24,3553,257,257,"报告期内，公司经销商数量从2016年初的306家增长至2019年6月末的2,398家，主要因拓展印度等新兴市场。2019年上半年经销商数量减少，系印度市场优化渠道布局。公司非洲地区经销商主要为长期合作客户，占收入比例64.65%；印度地区经销商规模小、数量多，占收入比例93.87%。2016年初以来新增经销商收入占比逐期增长，2019年1-6月达45.38%，但老经销商收入占比仍较高。主要经销商客户合作关系稳定，收入整体呈增长趋势，公司在非洲市场占有率从2016年的33.73%提升至2017年的45.12%。",129,49,49,0,12,15,10,8,4,0,4,0.0816326530612244,4,0,1.530612244897959,,146,129,146,27.54263565891473,24.33561643835617,27.54263565891473,24.33561643835617,9,9,2.5330706445257527,2.5330706445257527,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0004,688036,传音控股,1206947132,4,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0004.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6756,6195,3970,3970,24,3970,293,293,"公司报告期营业收入分别为1,050.42亿元、2,264.59亿元、2,004.36亿元和1,163.68亿元，非洲及印度市场新增经销商合计对收入贡献占比分别为19.70%、11.80%、8.72%、2.78%，老经销商合计贡献占比分别为67.13%、79.07%、82.48%、85.61%。公司2017年收入增长72.24%主要来自非洲市场，市场占有率由33.73%提升至45.12%；2018年收入增长12.98%，非洲市场占有率提升至48.71%。公司以手机为核心智能终端设计研发生产销售，毛利率保持在20%以上。非洲市场2018年市场容量下滑，印度市场受竞争影响收入增速放缓。",147,62,62,0,15,12,10,15,8,2,10,0.1612903225806451,6,-4,1.9193548387096775,,164,147,164,27.00680272108843,24.20731707317073,27.00680272108843,24.20731707317073,90,56,22.67002518891687,14.105793450881611,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0005,688036,传音控股,1206947132,5,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0005.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7170,6756,3974,3974,24,3974,343,343,"公司通过香港采购和销售主体，将境内生产的手机整机或CKD/SKD套料出口至印度、埃塞俄比亚、孟加拉国等地，实现全球销售。公司手机产量分别为7,698.11万台、12,922.98万台、12,596.87万台和5,188.36万台，销量分别为7,557.05万台、12,732.18万台、12,428.37万台和5,471.42万台，产销率保持95%以上。公司通过ISO14001环境管理体系认证，生产过程中产生的污染较少，环保设施运行正常。公司所处行业为计算机、通信和其他电子设备制造，属于新一代信息技术产业中的信息终端设备。公司所处行业受国家多项政策支持，包括新一代信息技术、智能终端产品创新发展等。公司所处行业在国民经济发展中具有战略地位，是推动产业链发展、产业结构升级的主要动力。",172,48,48,0,15,20,5,4,3,1,4,0.0833333333333333,6,2,1.2291666666666667,,195,172,195,23.1046511627907,20.379487179487175,23.1046511627907,20.379487179487175,99,46,24.911927528938097,11.575239053850025,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0006,688036,传音控股,1206947132,6,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0006.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7385,6986,3995,3995,24,3995,319,319,"公司专注于以非洲为代表的新兴市场进行本土化产品研发和技术创新，在品牌影响力、用户规模、技术创新、销售网络、供应链管控、售后服务方面具备领先优势。非洲、印度等新兴市场广阔的市场空间将进一步推动公司经营业绩提升。全球手机市场容量巨大，2018年出货量达18.91亿部，金额4,950亿美元，预计2022年金额近6,000亿美元。智能手机市场占有率持续提高，2018年达74.35%，预计2022年达80.59%。新兴市场如非洲、印度等发展潜力巨大，2018年出货量7.06亿部，金额674.03亿美元，增速高于全球平均水平。非洲、印度智能手机保有量及人均保有量快速上升，但市场仍有较大结构性改善需求，智能手机占比预计2022年达70.38%。",160,54,54,0,12,18,12,8,3,1,4,0.074074074074074,5,1,1.537037037037037,,178,160,178,24.96875,22.4438202247191,24.96875,22.4438202247191,100,69,25.031289111389235,17.271589486858574,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0007,688036,传音控股,1206947132,7,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0007.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6536,5793,3995,3995,24,3995,212,212,公司手机业务在新兴市场表现优异，全球市场占有率显著提升。2018年公司全品类手机全球市场占有率为7.04%，排名第4，较2016年增加3.09个百分点。在功能手机领域，公司全球市场占有率排名第一，2018年达19.47%。在非洲市场，公司市场份额达48.71%，位列第一。在印度市场，公司市场占有率达6.72%，排名第4。公司通过深耕新兴市场，形成了较强的品牌影响力和市场竞争力。技术壁垒和用户资源壁垒是行业进入的主要障碍。,106,48,48,0,15,18,5,5,4,1,5,0.1041666666666666,6,1,1.3333333333333333,,117,106,117,37.68867924528302,34.14529914529915,37.68867924528302,34.14529914529915,60,34,15.018773466833542,8.51063829787234,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0008,688036,传音控股,1206947132,8,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0008.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7611,7249,3996,3996,24,3996,181,181,公司定位于科技品牌出海，向海外新兴市场用户提供智能终端设备，并基于自主研发的操作系统和流量入口提供互联网服务。2018年公司手机出货量超1亿部，全球市场占有率7.04%，排名第四；非洲市场占有率48.71%，位列第一。公司拥有TECNO、itel及Infinix三大手机品牌，在非洲市场被称为“非洲之王”。公司研发理念切合当地市场，具备较强的应用性技术创新能力。,91,54,54,0,15,18,10,7,3,1,4,0.074074074074074,5,1,1.4074074074074074,,98,91,98,43.91208791208791,40.775510204081634,43.91208791208791,40.775510204081634,135,46,33.78378378378378,11.511511511511513,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0009,688036,传音控股,1206947132,9,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0009.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7046,6730,3863,3863,24,3863,326,326,"传音控股针对非洲市场需求，开发了黑人肤色摄像技术、夜间拍照捕捉技术和暗处人脸识别解锁功能等个性化应用技术，并研制了低成本高压快充技术、超长待机、环境温度检测的电流控制技术和防汗液USB端口。公司年均研发金额逐年上升，报告期内研发投入超过二十亿元，拥有研发人员1,500多人。截至2018年12月31日，公司月均超过8,000万台智能手机连入互联网，建立了用户画像、云存储、用户活跃度模型等一系列数据分析和策略系统。公司产品已进入全球70多个国家和地区，与超过2,000家经销商客户建立合作关系，形成覆盖非洲、南亚、东南亚、中东和南美等全球主要新兴市场的销售网络。公司在非洲市场占有率48.71%，印度市场占有率6.72%，全品类手机出货量位列全球第四。",163,55,55,0,10,15,12,8,7,3,10,0.1818181818181818,6,-4,1.9272727272727272,,182,163,182,23.699386503067483,21.225274725274726,23.699386503067483,21.225274725274726,147,61,38.053326430235565,15.7908361377168,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0010,688036,传音控股,1206947132,10,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0010.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6547,5871,3964,3964,24,3964,235,235,公司主营业务为手机产品，包括智能机和功能机，报告期内手机产品收入占比均超过95%。公司旗下有TECNO、itel和Infinix三大品牌，TECNO品牌是中高端品牌，itel品牌是大众品牌，Infinix品牌是时尚科技品牌。报告期内，公司手机产品产能利用率保持在94%以上，产销率维持在105%左右。公司主要面向非洲、南亚等新兴市场，采用以经销商销售为主，以少量运营商销售为辅的销售模式。报告期内，公司向前五大客户的销售额占比在16%左右，不存在严重依赖单一客户的情况。,118,62,62,0,0,0,0,23,28,11,39,0.6290322580645161,6,-33,3.806451612903226,,128,118,128,33.59322033898305,30.96875,33.59322033898305,30.96875,10,8,2.5227043390514634,2.0181634712411705,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0011,688036,传音控股,1206947132,11,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0011.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7085,6166,3838,3838,24,3838,211,212,公司与主要客户合作关系稳定，报告期内新增及退出情形较少。公司与WEIGUO YU终止合作系为减少关联交易、增强业务独立性。公司主要原材料包括电子元器件、光学器件、电子配件及包材和结构类物料等，其中屏幕、存储器、芯片、电池、摄像头为手机产品中成本占比较高的主要原材料。报告期内，公司主要原材料采购规模逐年增加，采购渠道不存在对单一元器件供应商较大依赖的情况。公司扎根于非洲市场多年，凭借品牌及产品优势在非洲占有较高的市场份额。,106,62,62,0,0,0,0,40,22,0,22,0.3548387096774194,5,-17,3.3548387096774195,,116,106,116,36.20754716981132,33.08620689655172,36.20754716981132,33.08620689655172,8,8,2.0844189682126104,2.0844189682126104,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0012,688036,传音控股,1206947132,12,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0012.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6406,5550,3993,3993,24,3993,230,230,报告期内，公司前五大供应商采购金额合计占采购总额的35.64%至33.69%，主要原材料供应商包括华显光电、鸿博科技、金士顿电子等，采购内容涵盖LCD/CTP、芯片、存储器等。公司不存在向单一供应商过度依赖的情况，供应商较为稳定。外协加工方面，智能机平均加工费为13.88元/台至14.67元/台，功能机为4.4元/台至4.78元/台，加工费因产品系列和工序复杂度存在差异。自有工厂智能机加工成本高于外协工厂，主要因2018年子公司泰衡诺工厂搬迁导致成本上升。,115,55,55,0,0,0,0,24,31,0,31,0.5636363636363636,5,-26,3.5636363636363635,,147,115,147,34.721739130434784,27.163265306122447,34.721739130434784,27.163265306122447,65,7,16.27848735286752,1.753067868770348,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0013,688036,传音控股,1206947132,13,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0013.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6403,5548,3984,3984,24,3984,187,187,公司自有工厂单位贴片成本低于外协工厂，但组装和包装成本因生产Tecno和Infinix中高端机型而偏高。报告期内，自有工厂组装和包装成本波动主要受生产机型结构变化、工厂搬迁及产能利用率影响。对比分析显示，自有工厂加工的Tecno和Infinix品牌中高端机型组装成本高于外协工厂加工的Itel品牌机型。类似售价或同类机型的手机，外协与自有工厂的单位生产成本相对售价差异较小。,94,22,48,1,0,0,0,12,10,0,10,0.4545454545454545,4,-6,3.4545454545454546,,109,94,109,42.38297872340426,36.55045871559633,42.38297872340426,36.55045871559633,1,0,0.251004016064257,0.0,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0014,688036,传音控股,1206947132,14,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0014.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,6588,5869,3578,3578,24,3578,216,216,"报告期内，公司外协工厂与自有工厂的智能机加工成本对比显示，剔除贴片工序后，组装和包装工序的加工费与自有工厂单位加工成本总体差异较小。截至2019年6月30日，公司主要生产设备原值合计4,522.14万元，包括双轨贴片机、印刷机等。公司持有的自有房产主要用于手机生产、制造、研发和办公，包括惠州、上海等地的厂房和科研设计用房，以及尼日利亚、坦桑尼亚等地的办公和员工宿舍。公司租赁的境内房产主要用于生产经营，租赁合同合法有效，价格公允。",108,48,48,0,15,12,10,7,4,0,4,0.0833333333333333,4,0,1.4375,,134,108,134,33.129629629629626,26.70149253731343,33.129629629629626,26.70149253731343,44,30,12.297372833985468,8.384572386808273,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0015,688036,传音控股,1206947132,15,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0015.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,7038,6192,3807,3807,24,3807,184,184,发行人拥有884件商标，其中境内290件，境外594件，主要商标51件。截至2019年6月30日，公司拥有630项专利，包括97项发明专利、385项实用新型专利和148项外观设计专利。主要专利包括印刷电路板以及具有印刷电路板的无线通信装置、移动通信装置及其收音机功能的操作方法、移动终端等。公司主要租赁房产包括境内7项和境外20项，主要用于办公、生产、仓库及售后维修。,92,60,60,0,42,10,5,2,1,0,1,0.0166666666666666,4,3,0.5,,110,92,110,41.380434782608695,34.60909090909091,41.380434782608695,34.60909090909091,19,13,4.990806409246125,3.414762280010507,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0016,688036,传音控股,1206947132,16,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0016.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5205,4588,3512,3512,24,3512,151,151,传音控股拥有42件核心专利，核心专利应用于公司手机产品中，实现了高度产业化。公司营业收入、利润主要来自核心技术产品的销售收入。公司及其附属公司已就上述专利取得了完备的权属证书，不存在权属瑕疵、纠纷或潜在纠纷。传音控股及其控股子公司拥有286项计算机软件著作权，其中与生产经营相关的核心软件著作权69件。,76,8,86,1,0,0,0,0,8,0,8,1.0,3,-5,4.0,,80,76,80,46.21052631578947,43.9,46.21052631578947,43.9,38,20,10.82004555808656,5.694760820045558,glm100,,
688036_1206947132_glm4_dewrap_join_chunk_0017,688036,传音控股,1206947132,17,24,results/glm4_dewrap_join_pilot50_20260705/chunks/688036_1206947132_glm4_dewrap_join_chunk_0017.txt,dewrap_join,THUDM/glm-4-9b-chat-hf,4000,5036,4500,3131,3131,24,3131,166,166,传音控股拥有多项软件著作权，包括Camera中实现可移动并缩放、水印拍照、AP层自动场景识别等功能软件。公司已取得境内土地使用权，用于建设传音总部及研发综合楼，并正在办理深圳龙华区和重庆渝北区的土地使用权。公司及其子公司已取得多项生产经营资质，包括对外贸易经营者备案登记表、出入境检验检疫报检企业备案登记证明书、高新技术企业证书等。,83,48,48,0,24,12,8,4,0,0,0,0.0,3,3,0.8333333333333334,,89,83,89,37.72289156626506,35.17977528089887,37.72289156626506,35.17977528089887,70,41,22.357074417119133,13.094857872884065,glm100,,
